Element;Arbeiterkammer;Burschenschaften;Christlicher Verbindungen;Landwirtschaftskammer;ÖGB;Raiffeisen;St.Georgs-Orden;Wirtschaftskammer;SPÖ;ÖVP;NEOS;GRÜNE;FPÖ
Marchetti;0;0;1;0;0;1;0;0;0;1;0;0;0
Margreiter;0;0;0;0;0;0;0;0;0;0;1;0;0
Matznetter;0;0;0;0;0;0;0;1;1;0;0;0;0
Maurer;0;0;0;0;0;0;0;0;0;0;0;1;0
Meinl-Reisinger;0;0;0;0;0;0;0;0;0;0;1;0;0
Melchior;0;0;0;0;0;0;0;0;0;1;0;0;0
Minnich;0;0;1;0;0;1;0;0;0;1;0;0;0
Muchitsch;1;0;0;0;1;0;0;0;1;0;0;0;0
Mühlberghuber;0;0;0;0;0;0;0;0;0;0;0;0;1
Neumann-Hartberger;0;0;0;1;0;1;0;0;0;1;0;0;0
Neßler;0;0;0;0;0;0;0;0;0;0;0;1;0
Niss;0;0;0;0;0;0;0;0;0;1;0;0;0
Nussbaum;1;0;0;0;1;0;0;0;1;0;0;0;0
Obernosterer;0;0;0;0;0;0;0;0;0;1;0;0;0
Oberrauner;0;0;0;0;0;0;0;0;1;0;0;0;0
Ofenauer;0;0;0;0;0;0;0;0;0;1;0;0;0
Ottenschlager;0;0;0;0;0;0;0;0;0;1;0;0;0
Pfurtscheller;0;0;0;0;0;0;0;0;0;1;0;0;0
Prammer;0;0;0;0;0;0;0;0;0;0;0;1;0
Prinz;0;0;0;0;0;0;0;0;0;1;0;0;0
Pöttinger;0;0;0;0;0;0;0;1;0;1;0;0;0
Ragger;0;0;0;0;0;0;0;0;0;0;0;0;1
Rauch;0;1;0;0;0;0;0;0;0;0;0;0;1
Rausch;0;0;0;0;0;0;0;0;0;1;0;0;0
Reifenberger;0;1;0;0;0;0;0;0;0;0;0;0;1
Reimon;0;0;0;0;0;0;0;0;0;0;0;1;0
Reiter;1;0;0;0;0;0;0;0;0;1;0;0;0
Rendi-Wagner;0;0;0;0;0;0;0;0;1;0;0;0;0
Ribo;0;0;0;0;0;0;0;0;0;0;0;1;0
Ries;0;0;0;0;0;0;0;0;0;0;0;0;1
Rössler;0;0;0;0;0;0;0;0;0;0;0;1;0
Salzmann;0;0;0;0;1;0;0;0;0;1;0;0;0
Saxinger;0;0;0;0;0;0;0;0;0;1;0;0;0
Schallmeiner;0;0;0;0;0;0;0;0;0;0;0;1;0
Schatz;0;0;0;0;0;0;0;0;1;0;0;0;0
Scherak;0;0;0;0;0;0;0;0;0;0;1;0;0
Scheucher-Pichler;0;0;0;0;0;0;0;0;0;1;0;0;0
Schmiedlechner;0;0;0;0;0;0;0;0;0;0;0;0;1
Schmucken-schlager;0;0;1;1;0;1;0;0;0;1;0;0;0
Schnedlitz;0;0;0;0;0;0;0;0;0;0;0;0;1
Schrangl;0;1;0;0;0;0;0;0;0;0;0;0;1
Schroll;1;0;0;0;0;0;0;0;1;0;0;0;0
Schwarz(GRÜNE);0;0;0;0;0;0;0;0;0;0;0;1;0
Schwarz(ÖVP);0;0;0;0;0;0;0;0;0;1;0;0;0
Schwarzenberger;0;0;0;0;0;0;0;0;0;1;0;0;0
Seemayer;1;0;0;0;1;0;0;0;1;0;0;0;0
Seidl;0;0;0;0;0;0;0;0;0;0;1;0;0
Shetty;0;0;0;0;0;0;0;0;0;0;1;0;0
Sieber;0;0;0;0;0;0;0;0;0;1;0;0;0
